names,province,addresses,counts,points 
碧湖温泉度假村,辽宁,辽阳市弓长岭区汤河镇柳河村,52,"123.368478,41.120059"
朝阳化石谷,辽宁,辽宁省朝阳市龙城区传奇路1号,16,"120.417088,41.598489"
莲花山观景台,辽宁,辽宁省大连市西岗区南石道街迎春路,28,"121.61722,38.89281"
龙润夏宫温泉水乐园,辽宁,辽宁省沈阳市铁西区高花高速出口高花镇张福安村,42,"123.048747,41.701804"
大连贝壳博物馆,辽宁,辽宁省大连市沙河口区星海广场东南角,20,"121.594737,38.878651"
米尼动物王国,辽宁,辽宁大连市沙河口区福佳新天地三楼,4,"121.593981,38.923105"
万佛堂石窟,辽宁,辽宁省锦州市义县头台乡万佛堂村,74,"121.172602,41.581431"
生命奥秘博物馆,辽宁,辽宁省大连市金州区广源街36号金石滩文化博览广场内,22,"122.016214,39.09639"
沈阳海洋探索中心,辽宁,沈阳市和平区博览路2甲1号，K11购物艺术中心3层,44,"123.444552,41.756084"
水云涧温泉旅游度假区,辽宁,辽宁省大连市金州区三十里堡街道三道湾街区水云涧温泉旅游度假区,44,"121.77001,39.349617"
中泰海洋世界,吉林,吉林省长春市朝阳区清华路与新民大街交汇处北侧,346,"125.313537,43.877415"
长影世纪城,吉林,吉林省长春市净月开发区长双公路,624,"125.453307,43.779397"
长白山北景区,吉林,吉林省延边州安图县二道白河镇,62,"128.184947,42.192921"
伪满皇宫博物院,吉林,吉林省长春市宽城区光复北路5号,414,"125.355927,43.911781"
长白山,吉林,吉林省延边市安图县二道白河镇池北区,54,"128.079743,42.025855"
净月潭,吉林,吉林省长春市净月经济开发区净月大街5840号,92,"125.477467,43.788327"
长春世界雕塑园,吉林,吉林省长春市南关区人民大街9518号,52,"125.340462,43.828113"
御龙温泉,吉林,吉林省长春市双阳区杨家村,24,"125.713331,43.600691"
六鼎山文化旅游区,吉林,吉林省延边州敦化市吉林敦化六鼎山文化旅游区,20,"128.25024,43.32451"
东北虎园,吉林,吉林省长春市南关区净月潭森林公园内,132,"125.468892,43.774799"
长白山仙人桥温泉,吉林,吉林省白山市扶松县仙人桥镇温泉村,18,"127.21085,42.16041"
国信南山温泉,吉林,吉林省长春长清公路16公里处,156,"125.534991,43.690721"
长影旧址博物馆,吉林,吉林省长春朝阳区红旗街1118号,108,"125.298792,43.870357"
吉林神农温泉度假村,吉林,吉林省吉林市昌邑区孤店子镇大荒地村,36,"126.369804,44.026923"
吉林乔屯温泉庄园,吉林,吉林昌邑区桦皮厂镇乔屯村8舍,10,"126.294115,43.995213"
长春凯撒森林温泉度假村,吉林,吉林省长春市南关区净月潭公园正门南行200米,36,"125.455972,43.805612"
琵岩山风景区,吉林,吉林省延边州龙井市体育场,18,"129.43432,42.809423"
长春莲花岛影视休闲文化园,吉林,朝阳区永春镇柳家村（生态大街南行8公里）右转,60,"125.336961,43.744121"
讷殷古城,吉林,白山市抚松县长白山管委会池南区302省道右侧锦江大桥前1公里,10,"127.570299,41.983519"
长白山天沐温泉,吉林,吉林省白山市抚松县漫江镇池南区政府前200米,26,"127.606438,41.954847"
大江户温泉洗浴,吉林,吉林省长春市绿园区正阳街4088号。,12,"125.28032,43.8723"
银环湖,吉林,吉林省延边朝鲜族自治州安图县二道白河镇长白山火山国家地质公园岳华林景观带,8,"128.069809,42.066403"
土字碑,吉林,吉林省延边朝鲜族自治州珲春市防川土字碑,4,"130.368526,42.866334"
大西洋汤泉,吉林,长春市绿园区春城大街24号（近春城综合市场）,4,"125.269058,43.901655"
长白山西景区,吉林,吉林省延边市长白山景区,60,"128.077815,42.026217"
汤泉时代温泉,吉林,吉林省长春市朝阳区新民大街与桂林路交汇（长白山宾馆北银贸大厦院内）,52,"125.31526,43.872693"
长白山美人松雕塑公园,吉林,吉林省延边安图县环山线南50米,54,"128.12115,42.444814"
鸡冠山国家森林公园,吉林,吉林省梅河口市吉乐乡吉兴村,36,"125.517227,42.197908"
高句丽文物古迹旅游景区,吉林,吉林省通化集安市集青公路与将军路交汇处,71,"126.226744,41.154175"
防川风景区,吉林,吉林省延边州珲春市敬信镇防川村,2,"130.643798,42.438"
五虎岛游乐园（水世界）,吉林,吉林省吉林市丰满区丰满桥东侧松滨路,82,"126.701251,43.734173"
拉法山,吉林,中国吉林省吉林市蛟河市,60,"127.348864,43.787555"
延吉梦都美温泉,吉林,吉林省延边朝鲜族自治州延吉市依兰镇春兴村5队,16,"129.602715,43.039717"
松花湖风景名胜区,吉林,吉林省吉林市丰满区丰满街1号,59,"126.707957,43.720974"
中信城洗浴会馆,吉林,吉林省长春市南关区永兴街道净月大街4775号中信城洗浴会馆,93,"125.445405,43.81219"
官马溶洞,吉林,吉林市磐石市,48,"126.124908,43.162397"
五虎岛,吉林,吉林省吉林市丰满区松花湖,82,"126.792645,43.65666"
聚龙温泉群,吉林,吉林省延边朝鲜族自治州安图县二道白河镇长白山火山国家地质公园北景区内,10,"128.076134,42.122516"
龙虎阁,吉林,登顶龙虎阁，一眼望三国,78,"130.645014,42.434114"
向海自然保护区,吉林,中国吉林省长春市西北部,35,"122.53242313547,45.033303201392"
大戏台河,吉林,吉林省延边市安图县二道白河镇池北区（距长白山北景区山门8公里）,43,"128.227352,42.228688"
长春樱桃汤泉,吉林,吉林省长春市经济技术开发区自由大路7288号（与兰州街交汇处）,2,"125.406126,43.870685"
长白山魔界风景区,吉林,吉林省延边朝鲜族自治州安图县二道白河镇,35,"128.156817,42.469925"
长白山万达国际度假区,吉林,吉林省白山市抚松县松江河镇万达长白山国际度假区,6,"127.517934,42.107416"
延边雁鸣湖神龙温泉度假村,吉林,吉林省延边朝鲜族自治洲敦化市雁鸣湖镇,87,"128.597352,43.690938"
长白山天池汤泉,吉林,吉林省长白山保护开发区池北区长白山老山门旁（长白山皇冠假日酒店内）,2,"128.184098,42.192441"
延吉梦都美水上乐园,吉林,吉林省延边朝鲜族自治州延吉市依兰镇春兴村5队,2,"129.594792,43.040065"
圣德泉温泉,吉林,吉林市船营区吉长南线18公里处,87,"126.265386,43.896618"
长白山奶头山女真风景区,吉林,吉林省安图县长白山池北区白河林业局光明林场,99,"128.156826,42.332255"
长白山一山一蓝温泉,吉林,吉林省延边州安图县二道白河镇（池北区）火车站斜对面,34,"128.139939,42.454736"
望天鹅旅游风景区,吉林,吉林省长白市长白县,43,"127.95858553643,41.528033146323"
雾凇清水湾度假酒店,吉林,吉林省吉林市昌邑区松江东路51号（神话奥迪4S店旁）,96,"126.604656,43.850425"
伪满八大部,吉林,吉林省长春市朝阳区新民大街附近,4,"125.313132,43.8832"
长白山乐高美温泉,吉林,吉林省白山市抚松县松江河镇长白山保护开发区池西区中心长白山乐高美温泉度假酒店,56,"127.510876,42.150681"
长白朝鲜族民俗村,吉林,吉林省白山市长白朝鲜族自治县马鹿沟镇果园村,61,"127.939937,41.458608"
吉林文庙博物馆,吉林,吉林省吉林市昌邑区文庙胡同南昌路2号（近江城广场）,92,"126.576337,43.846307"
长白山和平滑雪场,吉林,吉林省延边朝鲜族自治州安图县长白山北景区,98,"128.203631,42.295445"
万达长白山滑雪场,吉林,吉林省白山市抚松县松江河镇万达长白山国际度假区内,99,"127.51793402042,42.10741594146"
当当城儿童职业体验馆,吉林,长春市飞跃路欧亚汇集二楼,75,"125.246642,43.845624"
长白山自然博物馆,吉林,吉林省延边朝鲜族自治州安图县宝山路,65,"128.120927,42.41828"
长春孔子文化园,吉林,吉林省长春市南关区亚泰大街与东头道交汇处（东天街239号）,37,"125.356791,43.892173"
荣发农业观光园,吉林,吉林省长春市宽城区兰家镇装备大路2888号,79,"125.225171,43.997282"
长春姚氏水乐汇,吉林,吉林省长春市经济开发区澳海东方一号39号楼1号门市(洋浦大街与武汉路交汇处),83,"125.432262,43.876672"
梦都美民俗旅游度假村,吉林,吉林省延吉市依兰镇春兴村东南方向约205公里,62,"129.604223,43.040684"
弘安丽水温泉酒店,吉林,吉林省长春市经济技术开发区双安金都小区5幢101-107号房。,60,"125.398769,43.861252"
长白山地下森林,吉林,吉林省延边延吉市长白山地下森林,61,"128.083738,42.098882"
红旗村,吉林,吉林省延边安图县,40,"128.307566,42.860855"
甲砬山种植旅游观光园,吉林,吉林省吉林市磐石市明城镇葫芦细南小村1号景区大门口,36,"125.959562,43.077003"
仙景台,吉林,吉林省延边和龙市德化镇境内,48,"129.052189,42.479149"
九星汤泉,吉林,吉林省通化市梅河口市泰源泰源街298号,2,"125.696789,42.537755"
鲸驰温泉酒店,吉林,吉林省长春市南关区钜城臻品二号院7号楼,73,"125.324991,43.803511"
长春抖拍星空艺术馆,吉林,长春市朝阳区延安大街99号欧亚新生活负一层,34,"125.311955,43.870541"
剑鹏国际马城旅游度假区,吉林,吉林省长春市农安县华家镇战家村,72,"125.028341,44.288281"
长白山清枫丽舍温泉,吉林,吉林省白山市抚松县天池大道管委会东100米,56,"127.518985,42.156498"
延边王朝圣地温泉（长白山镇温泉店）,吉林,吉林省延边市安图县吉林省长白山保护开发区池北区松花大街 ( 二道白河镇),14,"128.151772,42.44483"
哈尔滨极地馆（一期）,黑龙江,黑龙江省哈尔滨市松北区太阳大道3号,1042,"126.593929,45.791562"
波塞冬海底世界,黑龙江,黑龙江省哈尔滨市松北区汇江路1号,412,"126.691374,45.88911"
东北虎林园,黑龙江,黑龙江省哈尔滨松北区松北街88号,342,"126.605376,45.82487"
波塞冬沙滩水世界,黑龙江,黑龙江省哈尔滨市松北区汇江路1号,256,"126.693085,45.885349"
哈尔滨龙塔,黑龙江,黑龙江省哈尔滨市南岗区长江路178号,168,"126.687353,45.754132"
海林横道东北虎林园,黑龙江,黑龙江省牡丹江海林市横道河子镇,78,"129.117618,44.800463"
哈尔滨松花江观光索道,黑龙江,黑龙江省哈尔滨道里区通江街218号,176,"126.617176,45.784415"
镜泊湖风景区,黑龙江,黑龙江省牡丹江市宁安市火山口旅游公路,20,"128.973946,44.049877"
大顶子山温泉旅游区,黑龙江,黑龙江省哈尔滨市巴彦县,48,"127.248843,46.019376"
圣索菲亚教堂,黑龙江,黑龙江省哈尔滨市道里区透笼街88号,18,"126.633567,45.776704"
英杰温泉,黑龙江,黑龙江省哈尔滨市宾县宾州镇友联村,38,"127.356861,45.667639"
扎龙自然保护区,黑龙江,黑龙江省齐齐哈尔市铁锋区扎龙乡,48,"124.247734,47.202765"
波塞冬旅游度假区,黑龙江,黑龙江省哈尔滨市松北区汇江路1号,74,"126.691374,45.88911"
林甸北国温泉,黑龙江,黑龙江省大庆市林甸县林甸镇庆丰街南三段西侧,30,"124.871099,47.181632"
哈尔滨融创雪世界,黑龙江,黑龙江省哈尔滨市松北区世贸大道99号融创茂一层,76,"126.506811,45.809292"
北纬47°城市温泉家园,黑龙江,黑龙江省齐齐哈尔市建华区党校街62号,16,"123.946532,47.374491"
龙沙动植物园,黑龙江,黑龙江省齐齐哈尔市建华区碾北公路1号,266,"123.949378,47.349411"
枫叶小镇温泉度假村,黑龙江,黑龙江省哈尔滨市松北区枫叶小镇奥特莱斯北侧,122,"126.4691,45.828475"
平山神鹿风景区,黑龙江,黑龙江哈尔滨阿城市阿城区平山镇森工平山神鹿风景区,184,"127.376931,45.303517"
大庆艺术邨温泉,黑龙江,黑龙江省大庆市萨尔图区黑鱼湖旅游景区国际艺术村园区内,54,"125.120804,46.791342"
亚布力熊猫馆,黑龙江,黑龙江省哈尔滨市尚志市亚布力镇东南20公里,14,"128.485895,44.796683"
牡丹江大湾水世界,黑龙江,黑龙江省牡丹江市江南东四跨江桥东北方向3000米大湾新村,12,"129.659249,44.567015"
帽儿山,黑龙江,黑龙江省哈尔滨尚志市帽儿山镇,20,"127.523854,45.301196"
水师森林温泉度假区,黑龙江,黑龙江省齐齐哈尔市昂昂溪区水师营满族镇东一公里处,36,"124.006089,47.253274"
哈尔滨世纪汽车历史博物馆,黑龙江,黑龙江省哈尔滨市双城区东环城路北段（雀巢家园北门）,16,"126.332235,45.38315"
哈尔滨香炉山,黑龙江,黑龙江省哈尔滨市宾县南端,52,"127.53727,45.584141"
壹台山骆驼峰景区,黑龙江,黑龙江省哈尔滨市巴彦县福乡村,14,"127.510836,46.206473"
济州岛汤泉,黑龙江,黑龙江省哈尔滨市南岗区征仪路280号,8,"126.639447,45.710185"
松峰山自然保护区,黑龙江,哈尔滨市阿城市宾县,106,"127.435066,45.609133"
万象萌宠乐园,黑龙江,黑龙江省哈尔滨市南岗区中兴左街2号(哈尔滨大街与中兴左街交叉口处),740,"126.589394,45.705225"
威虎山城,黑龙江,黑龙江省牡丹江海林市威虎山风景区301国道210公里处,4,"129.110942,44.862323"
萌宠奇缘室内主题动物园,黑龙江,哈尔滨市松北区浦源路3022号观江国际购物中心二-三层,20,"126.650291,45.826931"
哈尔滨极地馆（二期）,黑龙江,哈尔滨市松北区太阳大道3号,482,"126.59232,45.791014"
新海都半山温泉城,黑龙江,黑龙江省哈尔滨市香坊区向阳镇东平村,36,"126.953716,45.727041"
金凤凰温泉,黑龙江,黑龙江省齐齐哈尔市龙沙区永安大街186号,4,"123.952906,47.344485"
太阳岛,黑龙江,黑龙江省哈尔滨市松北区太阳岛风景区,6,"126.604175,45.797805"
伏尔加庄园,黑龙江,黑龙江省哈尔滨市香坊区哈成路16公里处,34,"126.906666,45.676867"
哈尔滨文化公园（哈尔滨游乐园）,黑龙江,黑龙江省哈尔滨市南岗区东大直街1号（近哈尔滨工程大学）,36,"126.675443,45.785867"
哈尔滨北方森林动物园,黑龙江,黑龙江省哈尔滨市阿城区哈牡公路鸽子洞地区,4,"127.119252,45.398845"
汤旺河国家公园林海奇石风景区,黑龙江,黑龙江省伊春市汤旺河区小兴安岭南麓,99,"129.600569,48.474727"
黑龙江德云社,黑龙江,黑龙江省哈尔滨市道外区长春街137号百花剧场,35,"126.647526,45.794339"
哈尔滨冰雪大世界,黑龙江,黑龙江省哈尔滨市松北区太阳岛西侧,63,"126.571317,45.785773"
五大连池风景区,黑龙江,黑龙江省黑河市五大连池风景区,36,"126.160213,48.659875"
俄罗斯风情小镇,黑龙江,黑龙江省哈尔滨市松北区平原路太阳岛风景街10号(近临江街),44,"126.607947,45.793031"
悬羊峰国家地质公园,黑龙江,黑龙江省伊春铁力市小兴安岭西坡南麓桃山林业局施业区内,54,"128.502737,46.820018"
北极村,黑龙江,黑龙江省大兴安岭地区漠河县西林吉镇十三区北极村,84,"122.344341,53.491943"
鸳鸯峰景区,黑龙江,黑龙江省方正国有重点林区红旗林场附近,47,"129.619172,43.932962"
龙沙公园,黑龙江,黑龙江省齐齐哈尔市龙沙区齐齐哈尔市公园路32号,59,"123.950579,47.350674"
五营国家森林公园,黑龙江,黑龙江省伊春市五营区旅游公路以北17公里处,62,"129.220993,48.242453"
东北虎林园马戏城,黑龙江,黑龙江省哈尔滨市松北区松北街88号东北虎林园内,57,"126.608064,45.823364"
金龙山（横头山）国家森林公园,黑龙江,黑龙江省哈尔滨市阿城区金龙山镇,2,"127.525294,45.52318"
雪乡国家森林公园,黑龙江,黑龙江省牡丹江海林市雪乡大海林林业局,72,"128.861809,44.53612"
亚布力森林温泉,黑龙江,哈尔滨市尚志市亚布力镇亚布力森林温泉欢乐谷,8,"128.493059,44.798095"
溪水国家森林公园,黑龙江,黑龙江伊春市伊春区上甘岭林业局溪水经营所,39,"129.011249,47.911698"
北大荒现代农业园,黑龙江,黑龙江省哈尔滨市香坊区香福路146号,40,"126.771137,45.739223"
火山口国家森林公园,黑龙江,黑龙江省牡丹江市宁安市,31,"128.737748,44.090202"
中央大街步行街,黑龙江,黑龙江省哈尔滨市道里区,55,"126.626875,45.774125"
佳木斯东极之夜演艺,黑龙江,黑龙江省佳木斯市工人文化宫剧场（前进区顺和路7号新玛特商场对面）,82,"130.377105,46.81803"
大江户汤池（爱建店）,黑龙江,道里区爱建紫园路52号，汇丽广场院内,52,"126.576402,45.739926"
大庆丽都温泉酒店,黑龙江,黑龙江省大庆市萨尔图区东风新村建设路129号,66,"125.181158,46.575005"
哈尔滨日式汤合宫温泉,黑龙江,黑龙江省哈尔滨市松北区松北大道和万宝大道交汇处大耿家立交桥西150米,93,"126.538208,45.847031"
亚布力虎峰岭风景区,黑龙江,黑龙江省哈尔滨尚志市亚布力虎峰林场虎峰岭生态旅游度假区,33,"128.977939,44.92978"
中国雪乡,黑龙江,黑龙江省牡丹江市海林市长汀镇双峰林场,42,"128.861606,44.536062"
大江户汤池（群力店）,黑龙江,黑龙江省哈尔滨市道里区金江路676号,8,"126.576075,45.740207"
大庆鹤鸣湖温泉,黑龙江,黑龙江省大庆市林甸县三合乡胜利村鹤鸣湖温泉度假区,69,"124.546478,47.285663"
松松小镇,黑龙江,黑龙江省哈尔滨市香坊区乐松广场3层,10,"126.655302,45.723591"
哈尔滨善水汤泉,黑龙江,黑龙江省哈尔滨市道里区工农大街127号1层,68,"126.582933,45.736302"
长寿国家森林公园,黑龙江,哈尔滨市宾县宾西经济开发区长寿山,92,"127.229369,45.635531"
哈尔滨极乐寺,黑龙江,黑龙江省哈尔滨市南岗区东大直街9号,75,"126.670959,45.782229"
普罗旺斯薰衣草庄园,黑龙江,黑龙江哈尔滨香坊区东方红社区东北侧,33,"126.945889,45.742001"
连环湖温泉景区,黑龙江,黑龙江省大庆市杜尔伯特蒙古族自治县,97,"124.21744,46.782271"
清水湾温泉生活馆,黑龙江,黑龙江哈尔滨市道外区南直路357号,33,"126.711706,45.78002"
九峰山养心谷景区,黑龙江,黑龙江省伊春市金山屯区鹤嫩公路67.9公里处,72,"129.570146,47.372258"
金色海洋养生馆,黑龙江,黑龙江省哈尔滨市道里区民安街63号1-5层,63,"126.620462,45.755964"
黑龙江虎林园国际马戏城,黑龙江,黑龙江省哈尔滨市松北区松北大区88号,58,"126.605376,45.82487"
豫园,上海,上海市黄浦区福佑路168号,1790,"121.498971,31.233463"
上海野生动物园,上海,上海市浦东新区南六公路178号,7431,"121.728112,31.059636"
上海迪士尼乐园,上海,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园,15586,"121.667917,31.149712"
东方明珠,上海,上海市浦东新区世纪大道1号,3664,"121.50626,31.245369"
上海杜莎夫人蜡像馆,上海,上海市黄浦区南京西路2-68号新世界商厦10楼,680,"121.480215,31.240715"
黄浦江游览（十六铺码头）,上海,上海市黄浦区中山东二路481号B1层（十六铺码头一区）,1508,"121.503083,31.234893"
上海海昌海洋公园,上海,上海市浦东新区南汇城银飞路166号,20946,"121.915647,30.917713"
迪士尼小镇,上海,上海市浦东新区迪士尼小镇申迪西路255弄,606,"121.668347,31.14594"
上海科技馆,上海,上海市浦东新区世纪大道2000号(近二号线上海科技馆站),1928,"121.54785,31.224219"
外滩,上海,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）,590,"121.497854,31.240722"
上海中心大厦上海之巅观光厅,上海,上海市浦东新区陆家嘴环路479号（近东泰路）,1058,"121.512867,31.239758"
金茂大厦88层观光厅,上海,上海市浦东新区浦东世纪大道88号观光厅,452,"121.512094,31.240746"
陆家嘴,上海,上海市浦东新区西北部,568,"121.513278,31.248139"
创极速光轮,上海,上海市浦东新区川沙镇迪士尼度假区明日世界内,166,"121.667917,31.149712"
上海动物园,上海,上海市长宁区虹桥路2381号,2340,"121.369411,31.199264"
上海自然博物馆,上海,上海市静安区石门二路128号静安雕塑公园内,2391,"121.469083,31.241294"
环球金融中心观光厅,上海,上海市浦东新区世纪大道100号,364,"121.513463,31.23965"
南京路步行街,上海,上海市黄浦区,128,"121.474776,31.234851"
上海影视乐园,上海,上海市松江区车墩镇北松公路4915号,738,"121.319396,31.016693"
金色童话盛典,上海,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园,76,"121.671964,31.148267"
上海历史发展陈列馆,上海,上海市浦东新区浦东世纪大道1号东方明珠零米大厅内,164,"121.506591,31.245076"
东平国家森林公园,上海,上海市崇明县北沿路2188号,866,"121.487554,31.689225"
上海海洋水族馆,上海,上海市浦东新区陆家嘴环路1388号（近东方明珠）,704,"121.50818,31.246234"
翱翔•飞越地平线,上海,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内,166,"121.667917,31.149712"
加勒比海盗——沉落宝藏之战,上海,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内,178,"121.667917,31.149712"
外滩观光隧道,上海,上海市黄浦区中山东一路349号（陈毅广场向北70米）,204,"121.497043,31.245469"
上海玻璃博物馆,上海,上海市宝山区长江西路上海玻璃博物馆,106,"121.478478,31.349547"
上海城隍庙,上海,上海市黄浦区方浜中路249号,78,"121.49912146681,31.231409005048"
上海博物馆,上海,上海市黄浦区人民大道201号,58,"121.482,31.2343"
东方绿舟,上海,上海市青浦区沪青平公路6888号,3101,"121.015977,31.107866"
上海欢乐谷,上海,上海市松江区佘山镇林湖路888号,1100,"121.22218,31.102491"
上海人民广场,上海,中国上海黄浦区上海人民广场,50,"121.48208011703,31.236832849459"
朱家角古镇,上海,上海市青浦区朱家角镇美周路36号,142,"121.061605,31.116917"
东方明珠码头·黄浦江游船,上海,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头,38,"121.503541,31.246287"
城隍庙旅游区,上海,上海市黄浦区人民路、河南南路、上海老街、以及安仁路之间的区域,18,"121.499109,31.231135"
黄浦江游览（金陵东路码头）,上海,上海市黄浦区中山东二路141号金陵东路渡口,56,"121.499782,31.237973"
都市观光旅游巴士,上海,上海市中山东一路391号“都市观光”外滩旅游服务中心,66,"121.497355,31.246226"
鲜花港,上海,上海市浦东新区东海农场振东路2号,98,"121.908096,30.95272"
东方明珠空中旋转餐厅,上海,上海市浦东新区浦东世纪大道1号东方明珠广播电视塔内,20,"121.50626,31.245369"
醉白池,上海,上海市松江区人民南路64号,34,"121.237478,31.007748"
上海失恋博物馆,上海,上海市黄浦区南京东路353号悦荟广场4楼,18,"121.490283,31.24249"
辰山植物园,上海,上海市松江区辰花公路3888号,3239,"121.188507,31.080816"
静安寺,上海,上海市静安区南京西路1686号,32,"121.452054,31.229399"
上海乐高探索中心,上海,上海市普陀区大渡河路上海长风公园对面景畔广场4楼,42,"121.400607,31.229514"
BUS TOUR 上海观光游,上海,上海市黄埔区九江路588号（近湖北路）,82,"121.474293,31.234512"
顾村公园,上海,上海市宝山区顾村镇沪太路4788号环岛路1号（近沪太路）,1498,"121.384711,31.346641"
浦江郊野公园奇迹花园,上海,上海市闵行区浦星公路2578弄8号,1116,"121.509672,31.060409"
古猗园,上海,上海市嘉定区南翔镇沪宜路218号,102,"121.323438,31.298418"
上海观复博物馆,上海,上海市浦东新区陆家嘴环路479号上海中心大厦37层,30,"121.512317,31.239252"
上海世纪公园,上海,上海市浦东新区浦东锦绣路1001号,592,"121.558497,31.221764"
上海电影博物馆,上海,上海市徐汇区漕溪北路595号(近南丹路),30,"121.44453,31.192519"
魔都矩阵,上海,上海市虹口区东大名路500号上港邮轮城G层（彩虹桥东南侧）,4,"121.498198,31.247011"
震旦博物馆,上海,上海浦东新区富城路99号震旦国际大厦内（近名商路）,14,"121.506153,31.240483"
大丰上海知青纪念馆,上海,江苏省盐城市大丰市,14,"120.607371,33.257863"
上海历史博物馆,上海,上海市黄浦区南京西路325号,16,"121.477569,31.236703"
琉璃中国博物馆,上海,上海市卢湾区泰康路25号,26,"121.47674,31.21384"
EPSON teamLab 无界美术馆 teamLab Borderless Shanghai,上海,上海市黄浦区花园港路100号C-2单元teamLab无界美术馆,96,"121.504102,31.207456"
上海佛罗伦萨小镇,上海,上海市浦东新区卓耀路58弄 （近地铁2号线远东大道站）,22,"121.770767,31.202718"
碧波泉水城,上海,上海市闵行区沪闵路269号(靠近闵行公园，江川路加油站旁边),4,"121.429673,31.014387"
田子坊,上海,上海市卢湾区泰康路274号,8,"121.47539,31.215288"
豪华浦江游船（东方明珠码头）,上海,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头,94,"121.503369,31.246365"
申城观光双层巴士,上海,上海市浦东新区陆家嘴环路东方明珠8号门,14,"121.500903,31.239455"
上海星空艺术馆,上海,上海市黄浦区南京东路353号悦荟广场四楼,18,"121.490283,31.24249"
上海长风海洋世界,上海,上海市普陀区大渡河路451号（长风公园4号门）,248,"121.403563,31.230472"
七宝古镇,上海,上海市闵行区七宝镇,79,"121.357731,31.163619"
浦江郊野公园,上海,上海市闵行区浦星公路2578弄8号,796,"121.515951,31.061035"
上海汽车博物馆,上海,上海市嘉定区安亭博园路7565号,248,"121.176622,31.284864"
南翔古镇,上海,上海市嘉定区南翔镇,14,"121.31467,31.297407"
极乐汤（碧云温泉馆）,上海,上海市浦东新区新金桥路600号,75,"121.607319,31.256468"
上海周浦花海,上海,上海市浦东新区周浦镇周邓公路申江路界浜村406号,370,"121.65535,31.118973"
外滩观光隧道AR体验馆,上海,上海市黄浦区中山东一路349号外滩观光隧道地下一层,98,"121.497043,31.245469"
共青森林公园,上海,上海市杨浦区军工路2000号,414,"121.558078,31.326546"
上海惊魂密境,上海,上海市黄浦区九江路350号,12,"121.489989,31.242194"
上海新天地,上海,上海市黄浦区太仓路181弄,81,"121.475092,31.216318"
青浦曲水园,上海,上海市青浦区公园路612号,8,"121.120482,31.15496"
瘦西湖,江苏,江苏省扬州市维扬区长春路118号,6521,"119.430517,32.419989"
南京总统府,江苏,江苏省南京市玄武区长江路292号,6428,"118.803688,32.049877"
拙政园,江苏,江苏省苏州市平江区东北街178号,4088,"120.635191,31.330583"
灵山小镇拈花湾,江苏,江苏省无锡市滨湖区马山环山西路,3901,"120.079209,31.419262"
牛首山文化旅游区,江苏,江苏省南京市江宁区宁丹大道18号,3698,"118.751653,31.918951"
灵山大佛,江苏,江苏省无锡市滨湖区灵山路1号,3257,"120.102895,31.436399"
中华恐龙园,江苏,常州市新北区环球恐龙城河海东路60号,3198,"120.007837,31.83031"
鼋头渚,江苏,江苏省无锡市滨湖区鼋头渚1号,4464,"120.233458,31.529306"
红山森林动物园,江苏,江苏省南京市玄武区和燕路168号,4029,"118.813819,32.098851"
寒山寺,江苏,江苏省苏州市金阊区寒山寺弄24号,2928,"120.574213,31.316189"
荷兰花海,江苏,江苏省盐城大丰市新丰镇城北新区1号荷兰花海,2211,"120.44147,33.272257"
同里古镇,江苏,江苏省苏州市吴江市同里镇,960,"120.725441,31.163773"
钟山风景区,江苏,江苏省南京市玄武区石象路7号,2318,"118.861055,32.070422"
周庄,江苏,江苏省苏州市昆山周庄全福路43号,1534,"120.854425,31.120241"
留园,江苏,江苏省苏州金阊区阊门外留园路338号,1694,"120.598937,31.321719"
狮子林,江苏,江苏省苏州市平江区园林路23号,1800,"120.635345,31.327256"
明孝陵,江苏,江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下,1564,"118.84258,32.056109"
三国城,江苏,江苏省无锡市山水城旅游度假区三国城,1598,"120.239237,31.481725"
中山陵,江苏,江苏省南京市玄武区石象路7号,1112,"118.860335,32.063934"
淹城野生动物世界,江苏,江苏省常州市武进区武宣中路588号,1132,"119.933991,31.704617"
焦山,江苏,江苏省镇江市东吴路焦山公园,2121,"119.491862,32.243623"
镇江金山,江苏,江苏省镇江市润州区金山路62号,1684,"119.422532,32.225542"
虎丘,江苏,江苏省苏州市金阊区山塘街虎丘山门内8号,1078,"120.587069,31.341637"
连岛,江苏,江苏省连云港市连云区连岛镇连岛街道,1854,"119.458608,34.775286"
苏州太湖国家湿地公园,江苏,江苏省苏州市高新区太湖大道镇湖绣品街到底,862,"120.367492,31.326106"
花果山,江苏,江苏省连云港市新浦区郁林路5号,786,"119.278096,34.648745"
南山竹海,江苏,江苏省常州溧阳市横涧镇李家园下场园10号,718,"119.539659,31.181493"
千垛风景区,江苏,江苏省泰州市兴化市缸顾乡东旺村东侧,312,"119.823854,33.035238"
灵山胜境,江苏,江苏省无锡市滨湖区灵山路1号,1538,"120.107115,31.433007"
