names,province,addresses,counts,points
海河公园,天津,天津市和平区台儿庄路,22,"117.218779,39.136942"
静园-末代皇帝溥仪旧居,天津,天津市和平区鞍山道70号,4,"117.195893,39.128964"
张园,天津,天津和平区鞍山道59号,34,"117.20457213713,39.13652060648"
天津鼓楼天街茶馆相声帮,天津,天津市南开区盛津园29号楼006 天街茶馆（城厢中路台湾菜馆后身）,82,"117.182935,39.146773"
鼓楼,天津,天津市南开区城厢中路,16,"117.187836,39.147399"
杨柳青古镇,天津,天津市西青区杨柳青古镇景区,112,"117.021442,39.134669"
南市食品街,天津,天津市和平区南市商业圈,2,"117.191246,39.138647"
南开大学,天津,天津市南开区卫津路94号,67,"117.185475,39.109076"
洋货市场,天津,天津市滨海新区洋货步行街,4,"117.663466,39.034703"
天津方特欢乐世界,天津,天津市滨海新区中新生态城中生大道北首生态岛内,378,"117.743299,39.159433"
五大道之马场道,天津,天津市河西区津港路4号,34,"117.206525,39.110549"
天津盘山风景名胜区,天津,天津市蓟县官庄镇北15公里处,708,"117.286958,40.100119"
中华曲苑,天津,天津市和平区南市大街和清河大街交口,65,"117.19702219271,39.144464605209"
精武门·中华武林园,天津,天津市西青区精武镇小南河村,4,"117.141643,39.034742"
天津博物馆,天津,天津市河西区友谊路31号　　,6,"117.218032,39.091611"
海河公园,天津,天津市和平区台儿庄路,22,"117.218779,39.136942"
秀水蓝湾温泉酒店,天津,天津市西青区李七庄街秀川路8号A区,2,"117.15537,39.076038"
Funland凡乐莱蹦床公园,天津,天津市南开区黄河道519号(盛名集团工业园内),34,"117.127278,39.145897"
石家大院,天津,天津市西青区杨柳青镇估衣街47号,282,"117.017172,39.14089"
独乐寺,天津,天津市蓟县城内武定街41号,108,"117.410073,40.05099"
天津武清绿博园,天津,天津市武清区下朱庄南湖景区,42,"117.137601,39.341076"
霍元甲纪念馆,天津,天津市西青区南河镇小南河村（小南河中心小学附近）,66,"117.141349,39.035113"
尔宝瑞蜡像馆,天津,天津市河北区民生路89号,54,"117.207256,39.139199"
天津自然博物馆,天津,天津市河西区马场道206号,2,"117.191948,39.095879"
